features,loss
1,0.60562503
10,0.6078472
11,0.60902774
100,0.61340284
101,0.6156945
110,0.62458336
111,0.64020836
1000,0.62006944
1001,0.6290278
1010,0.6468055
1011,0.62131953
1100,0.61236113
1101,0.6413195
1110,0.62687504
1111,0.6358334
10000,0.615625
10001,0.63680553
10010,0.6223611
10011,0.6335417
10100,0.6434722
10101,0.6279862
10110,0.6290972
10111,0.6491666
11000,0.6368056
11001,0.65465283
11010,0.6268749
11011,0.6447222
11100,0.6235417
11101,0.6547222
11110,0.64250004
11111,0.66368055
100000,0.6200695
100001,0.6568055
100010,0.62458336
100011,0.6413194
100100,0.63680553
100101,0.63687503
100110,0.6502083
100111,0.65361106
101000,0.63347226
101001,0.6279861
101010,0.62798613
101011,0.67027783
101100,0.6624306
101101,0.6580556
101110,0.64916664
101111,0.688125
110000,0.6145834
110001,0.65243053
110010,0.6379861
110011,0.65138894
110100,0.6535416
110101,0.6447222
110110,0.6302778
110111,0.6925694
111000,0.6435417
111001,0.6558333
111010,0.6869444
111011,0.6759028
111100,0.6569444
111101,0.6603472
111110,0.64812505
111111,0.71708333
1000000,0.615625
1000001,0.62125003
1000010,0.6134722
1000011,0.646875
1000100,0.6334722
1000101,0.6390972
1000110,0.6579861
1000111,0.6536112
1001000,0.62013894
1001001,0.6146529
1001010,0.6535417
1001011,0.6436111
1001100,0.64465284
1001101,0.6358334
1001110,0.65250003
1001111,0.6803472
1010000,0.6056945
1010001,0.6213194
1010010,0.60909724
1010011,0.6458333
1010100,0.63243055
1010101,0.6847222
1010110,0.6458334
1010111,0.68256944
1011000,0.6357639
1011001,0.6747222
1011010,0.65027773
1011011,0.6703473
1011100,0.6825
1011101,0.6570139
1011110,0.6703472
1011111,0.7015278
1100000,0.61680555
1100001,0.6446527
1100010,0.6379861
1100011,0.6380556
1100100,0.6490972
1100101,0.64027786
1100110,0.6491667
1100111,0.6670139
1101000,0.6313195
1101001,0.63805556
1101010,0.66805553
1101011,0.6703472
1101100,0.67027783
1101101,0.65812504
1101110,0.6614583
1101111,0.67486113
1110000,0.6402083
1110001,0.6513889
1110010,0.6358334
1110011,0.678125
1110100,0.66361105
1110101,0.6847916
1110110,0.66368055
1110111,0.73152775
1111000,0.66249996
1111001,0.6647917
1111010,0.67145836
1111011,0.68930554
1111100,0.6725694
1111101,0.6948611
1111110,0.7004167
1111111,0.698264
10000000,0.60784715
10000001,0.60902786
10000010,0.6223611
10000011,0.606875
10000100,0.6001389
10000101,0.64020836
10000110,0.63687503
10000111,0.6680556
10001000,0.61680555
10001001,0.60909724
10001010,0.63798606
10001011,0.6636111
10001100,0.6213194
10001101,0.6413889
10001110,0.6569444
10001111,0.6703472
10010000,0.6334722
10010001,0.6446528
10010010,0.6390972
10010011,0.6591667
10010100,0.6257639
10010101,0.6447222
10010110,0.6447222
10010111,0.70479167
10011000,0.64465284
10011001,0.6491667
10011010,0.6469444
10011011,0.6514583
10011100,0.6691666
10011101,0.6625695
10011110,0.66368055
10011111,0.6848612
10100000,0.6123611
10100001,0.6302083
10100010,0.6413194
10100011,0.6413889
10100100,0.6302084
10100101,0.65916663
10100110,0.6780555
10100111,0.65812504
10101000,0.6124306
10101001,0.65250003
10101010,0.6458334
10101011,0.71479166
10101100,0.66027784
10101101,0.6714583
10101110,0.69034725
10101111,0.69263893
10110000,0.63576394
10110001,0.6569444
10110010,0.6402778
10110011,0.68034726
10110100,0.67361104
10110101,0.66368055
10110110,0.70145833
10110111,0.6681944
10111000,0.6358333
10111001,0.6725694
